,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Pos_rate,Pop
25,Massachusetts,US,2020-05-31 02:32:52,42.2302,-71.5301,96301,6768,,89533.0,25,1397.1847382583655,582519.0,9789.0,7.027964403277224,84000025,USA,8451.487072258074,10.165003478676232,0.16531821279649248,6892503.000000001
26,Michigan,US,2020-05-31 02:32:52,43.3266,-84.5361,56969,5464,38099.0,13406.0,26,570.4397289357403,538812.0,,9.591181168705788,84000026,USA,5395.210925719674,,0.10573075581093219,9986856.999999998
27,Minnesota,US,2020-05-31 02:32:52,45.6945,-93.9002,24190,1036,17864.0,5290.0,27,428.928696056764,242508.0,3011.0,4.282761471682513,84000027,USA,4300.067805842651,12.447292269532864,0.09974928662147228,5639632.0
28,Mississippi,US,2020-05-31 02:32:52,32.7416,-89.6787,15229,723,9401.0,5105.0,28,511.701531072537,165932.0,2240.0,4.747521176702344,84000028,USA,5575.392898675435,14.708779302646267,0.09177855989200395,2976149.0
29,Missouri,US,2020-05-31 02:32:52,38.4561,-92.2884,13298,774,,12524.0,29,216.67056623719253,185430.0,,5.820424123928411,84000029,USA,3021.298172459213,,0.07171439357169822,6137427.999999998
30,Montana,US,2020-05-31 02:32:52,46.9219,-110.4544,505,17,448.0,40.0,30,47.25022408769642,39284.0,67.0,3.366336633663366,84000030,USA,3675.5996100219127,13.267326732673268,0.012855106404643112,1068778.0
31,Nebraska,US,2020-05-31 02:32:52,41.1254,-98.2681,13905,170,,13735.0,31,718.8245706179875,99008.0,,1.2225818051060773,84000031,USA,5118.258402570709,,0.14044319650937298,1934407.9999999998
32,Nevada,US,2020-05-31 02:32:52,38.3135,-117.0554,8517,417,428.0,7672.0,32,276.51196887430376,138532.0,,4.896090172595986,84000032,USA,4497.564409075385,,0.06148037998440793,3080156.0
33,New Hampshire,US,2020-05-31 02:32:52,43.4525,-71.5639,4492,238,2802.0,1452.0,33,330.3643200650726,68960.0,440.0,5.2983081032947466,84000033,USA,5071.665964311534,9.795191451469279,0.06513921113689095,1359711.0
34,New Jersey,US,2020-05-31 02:32:52,40.2989,-74.521,159608,11634,26301.0,121673.0,34,1796.944222089372,745308.0,17121.0,7.289108315372663,84000034,USA,8391.038696537678,10.726905919502784,0.21415039151599072,8882190.0
35,New Mexico,US,2020-05-31 02:32:52,34.8405,-106.2485,7624,351,2728.0,4545.0,35,363.5966499891026,188261.0,1317.0,4.603882476390347,84000035,USA,8978.366857764748,17.27439664218258,0.04049696963258455,2096829.0000000002
36,New York,US,2020-05-31 02:32:52,42.1657,-74.9481,369660,29710,65609.0,274341.0,36,1900.2176516679901,2005381.0,89400.0,8.03711518692853,84000036,USA,10308.554819346442,24.18438565167992,0.18433404924051838,19453561.000000004
37,North Carolina,US,2020-05-31 02:32:52,35.6301,-79.8064,27794,929,14954.0,11911.0,37,265.0055052953428,404157.0,,3.3424480103619487,84000037,USA,3853.487443464412,,0.06877030460934735,10488084.0
38,North Dakota,US,2020-05-31 02:32:52,47.5289,-99.784,2554,60,1943.0,551.0,38,335.1433347942818,70981.0,165.0,2.3492560689115107,84000038,USA,9314.33400431986,6.460454189506656,0.03598145982727772,762061.9999999998
39,Northern Mariana Islands,US,2020-05-31 02:32:52,15.0979,145.6739,22,2,15.0,5.0,69,39.895546206296245,6008.0,,9.090909090909092,580,MNP,10895.110982155811,,0.0036617842876165113,55143.99999999999
40,Ohio,US,2020-05-31 02:32:52,40.3888,-82.7649,35033,2149,,32884.0,39,299.7065642350566,381947.0,6011.0,6.134216310335969,84000039,USA,3267.5483997912584,17.15810806953444,0.09172214993179682,11689100.0
41,Oklahoma,US,2020-05-31 02:32:52,35.5653,-96.9289,6418,334,5435.0,649.0,40,162.19476968620694,193118.0,982.0,5.204113430975382,84000040,USA,4880.45022316312,15.300716734185105,0.0332335670419122,3956971.000000001
42,Oregon,US,2020-05-31 02:32:52,44.572,-122.0709,4185,153,2137.0,1895.0,41,99.22382547797552,126795.0,778.0,3.655913978494624,84000041,USA,3006.2329633165837,18.59020310633214,0.033006033360936944,4217737.000000001
43,Pennsylvania,US,2020-05-31 02:32:52,40.5908,-77.2098,75697,5537,47133.0,23027.0,42,591.2909314326079,447772.0,,7.314688825184617,84000042,USA,3497.675244057779,,0.1690525535317081,12801989.0
44,Puerto Rico,US,2020-05-31 02:32:52,18.2208,-66.5901,3718,133,,3585.0,72,126.74677371848715,3718.0,,3.5771920387305003,630,PRI,126.74677371848715,,1.0,2933408.0000000005
45,Rhode Island,US,2020-05-31 02:32:52,41.6809,-71.5118,14819,711,1225.0,12883.0,44,1398.8621442548858,150317.0,1682.0,4.797894594776976,84000044,USA,14189.402857005307,11.350293542074366,0.09858499038698218,1059361.0
46,South Carolina,US,2020-05-31 02:32:52,33.8569,-80.945,11394,487,6459.0,4448.0,45,221.29797848550143,189519.0,1634.0,4.2741793926628056,84000045,USA,3680.899735351391,14.340881165525715,0.06012062115144128,5148714.0
47,South Dakota,US,2020-05-31 02:32:52,44.2998,-99.4388,4960,62,3805.0,1093.0,46,560.668008803392,42938.0,427.0,1.25,84000046,USA,4853.6215649193655,8.608870967741936,0.11551539428944059,884658.9999999998
48,Tennessee,US,2020-05-31 02:32:52,35.7478,-86.6923,22566,364,15193.0,7009.0,47,330.43527665278407,427046.0,1732.0,1.6130461756625012,84000047,USA,6253.259911081485,7.675263671009484,0.052842082585950925,6829174.000000002
49,Texas,US,2020-05-31 02:32:52,31.0545,-97.5635,62675,1652,40068.0,20955.0,48,216.15139060613475,893275.0,,2.6358197048264858,84000048,USA,3080.6961857789393,,0.07016316363941676,28995880.999999996
50,Utah,US,2020-05-31 02:32:52,40.15,-111.8624,9533,112,5995.0,3426.0,49,297.3526165969735,210105.0,763.0,1.1748662540648274,84000049,USA,6553.579304532374,8.003776355816637,0.04537255181932843,3205957.9999999995
51,Vermont,US,2020-05-31 02:32:52,44.0459,-72.7107,977,55,865.0,57.0,50,156.57327292628554,32667.0,,5.629477993858751,84000050,USA,5235.188440821874,,0.029907858083080784,623989.0
52,Virgin Islands,US,2020-05-31 02:32:52,18.3358,-64.8963,69,6,61.0,2.0,78,64.32486855352947,1702.0,,8.695652173913043,850,VIR,1586.6800909870606,,0.04054054054054054,107267.99999999999
53,Virginia,US,2020-05-31 02:32:52,37.7693,-78.17,43611,1370,5745.0,36496.0,51,510.935538893417,305512.0,7216.0,3.141409277475866,84000051,USA,3579.301973318787,16.546284194354634,0.14274725706355232,8535519.0
54,Washington,US,2020-05-31 02:32:52,47.4009,-121.4905,21349,1118,,20231.0,53,280.3585027393031,348233.0,3455.0,5.236779240245445,84000053,USA,4573.051781554907,16.183427795212893,0.06130665387829413,7614893.000000002
55,West Virginia,US,2020-05-31 02:32:52,38.4912,-80.9545,1989,75,1290.0,624.0,54,110.98419939882164,95890.0,,3.770739064856712,84000054,USA,5350.565550705383,,0.020742517467932004,1792147.0
56,Wisconsin,US,2020-05-31 02:32:52,44.2685,-89.6165,18230,588,11338.0,6304.0,55,313.0992983346827,261138.0,2563.0,3.2254525507405374,84000055,USA,4485.031517746702,14.05924300603401,0.06980983234917935,5822434.0
57,Wyoming,US,2020-05-31 02:32:52,42.756,-107.3025,898,16,658.0,224.0,56,155.15957419236676,24083.0,85.0,1.7817371937639201,84000056,USA,4161.144794292616,9.465478841870825,0.0372877133247519,578759.0
